A,C,E,G,J,K,M,9
A,C,E,G,J,K,M,9
B,C,E,G,J,K,N,4
A,C,F,G,J,K,M,5
A,C,E,G,J,K,M,9
A,C,F,G,J,K,M,5
A,C,E,H,I,K,M,0
A,C,E,G,J,K,M,9
A,C,E,G,I,K,M,8
A,C,E,H,I,K,M,0
A,C,E,G,J,K,M,9
A,C,E,G,J,K,M,9
A,C,F,G,I,K,M,6
A,C,E,G,J,K,M,9
A,C,F,G,I,K,M,6
A,C,F,G,J,K,M,5
A,C,E,G,I,K,M,8
A,C,E,H,I,K,M,0
A,C,F,G,I,K,M,6
B,C,E,G,J,K,N,4
A,C,F,G,J,K,M,5
A,C,E,H,I,K,M,0
B,C,E,G,J,K,N,4
A,C,E,G,I,K,M,8
A,C,F,G,J,K,M,5
A,C,E,G,I,K,M,8
A,C,F,G,I,K,M,6
A,C,E,H,I,K,M,0
B,C,E,G,J,K,N,4
B,C,E,G,J,K,N,4
A,C,E,H,I,K,M,0
A,C,E,H,I,K,M,0
A,C,E,G,J,K,M,9
A,C,E,G,J,K,M,9
A,C,F,G,J,K,M,5
A,C,E,G,I,K,M,8
B,C,E,G,J,K,N,4
A,C,E,H,I,K,M,0
A,C,E,G,I,K,M,8
A,C,F,G,J,K,M,5
A,C,E,G,J,K,M,9
A,C,F,G,I,K,M,6
A,C,F,G,J,K,M,5
B,C,E,G,J,K,N,4
A,C,F,G,J,K,M,5
A,C,F,G,J,K,M,5
A,C,F,G,J,K,M,5
A,C,E,H,I,K,M,0
A,C,E,H,I,K,M,0
B,C,E,G,J,K,N,4
A,C,E,G,J,K,M,9
A,C,E,G,J,K,M,9
B,C,E,G,J,K,N,4
A,C,E,G,J,K,M,9
B,C,E,G,J,K,N,4
A,C,E,G,J,K,M,9
A,C,F,G,J,K,M,5
A,C,F,G,J,K,M,5
A,C,E,G,J,K,M,9
A,C,F,G,I,K,M,6
B,C,E,G,J,K,N,4
B,C,E,G,J,K,N,4
A,C,E,H,I,K,M,0
A,C,F,G,I,K,M,6
A,C,F,G,I,K,M,6
A,C,E,H,I,K,M,0
B,C,E,G,J,K,N,4
A,C,E,G,J,K,M,9
B,C,E,G,J,K,N,4
B,C,E,G,J,K,N,4
B,C,E,G,J,K,N,4
A,C,F,G,J,K,M,5
A,C,F,G,J,K,M,5
B,C,E,G,J,K,N,4
A,C,E,G,J,K,M,9
A,C,E,G,I,K,M,8
A,C,F,G,J,K,M,5
A,C,F,G,J,K,M,5
A,C,E,G,I,K,M,8
B,C,E,G,J,K,N,4
A,C,F,G,J,K,M,5
A,C,E,G,I,K,M,8
A,C,F,G,I,K,M,6
A,C,F,G,I,K,M,6
A,C,F,G,J,K,M,5
A,C,E,G,J,K,M,9
A,C,F,G,J,K,M,5
B,C,E,G,J,K,N,4
A,C,F,G,J,K,M,5
B,C,E,G,J,K,N,4
A,C,F,G,I,K,M,6
A,C,E,H,I,K,M,0
A,C,E,G,I,K,M,8
A,C,F,G,J,K,M,5
A,C,F,G,I,K,M,6
A,C,E,G,J,K,M,9
A,C,E,H,I,K,M,0
A,C,E,G,I,K,M,8
A,C,F,G,J,K,M,5
A,C,F,G,J,K,M,5
B,C,E,G,J,K,N,4
A,C,E,G,J,K,M,9
A,C,E,H,I,K,M,0
A,C,F,G,J,K,M,5
A,C,F,G,I,K,M,6
A,C,E,G,I,K,M,8
A,C,F,G,I,K,M,6
A,C,E,H,I,K,M,0
